Total population,Total households,PCT WHITE COLLAR,PCT BLUE COLLAR,Median income,Mean income,id,Geographic Area Name
5216,2342,53.4,46.7,46027,56987,1400000US48001950100,"Census Tract 9501, Anderson County, Texas"
8089,73,12.3,87.7,61442,78466,1400000US48001950401,"Census Tract 9504.01, Anderson County, Texas"
3755,130,38.1,61.9,61538,78255,1400000US48001950402,"Census Tract 9504.02, Anderson County, Texas"
4576,1661,46.1,53.9,32529,59569,1400000US48001950500,"Census Tract 9505, Anderson County, Texas"
6114,2241,41.4,58.6,40409,46814,1400000US48001950600,"Census Tract 9506, Anderson County, Texas"
3266,1063,34.4,65.5,30245,45436,1400000US48001950700,"Census Tract 9507, Anderson County, Texas"
4395,2262,53.9,46.1,38742,51442,1400000US48001950800,"Census Tract 9508, Anderson County, Texas"
5268,2146,49.3,50.8,46760,58774,1400000US48001950901,"Census Tract 9509.01, Anderson County, Texas"
5185,2367,60.4,39.6,45250,68848,1400000US48001950902,"Census Tract 9509.02, Anderson County, Texas"
6839,3289,51.8,48.3,35478,51521,1400000US48001951000,"Census Tract 9510, Anderson County, Texas"
5313,2315,37.5,62.5,40293,59264,1400000US48001951100,"Census Tract 9511, Anderson County, Texas"
1684,748,45.2,54.7,66050,124128,1400000US48003950100,"Census Tract 9501, Andrews County, Texas"
6289,2602,45.1,54.9,50694,82146,1400000US48003950200,"Census Tract 9502, Andrews County, Texas"
3754,1454,35.6,64.4,36250,47462,1400000US48003950300,"Census Tract 9503, Andrews County, Texas"
2321,903,55.4,44.7,59766,86209,1400000US48003950400,"Census Tract 9504, Andrews County, Texas"
5992,2280,48.4,51.5,30947,51269,1400000US48005000101,"Census Tract 1.01, Angelina County, Texas"
5153,1681,58.1,41.8,58906,63223,1400000US48005000102,"Census Tract 1.02, Angelina County, Texas"
6751,2783,42.9,57,36010,53183,1400000US48005000200,"Census Tract 2, Angelina County, Texas"
5495,2217,49.6,50.5,51369,58818,1400000US48005000301,"Census Tract 3.01, Angelina County, Texas"
4176,1582,59.7,40.3,50639,70020,1400000US48005000302,"Census Tract 3.02, Angelina County, Texas"
5554,2339,37.7,62.3,26534,37357,1400000US48005000400,"Census Tract 4, Angelina County, Texas"
4035,1936,40.9,59.1,25879,35486,1400000US48005000500,"Census Tract 5, Angelina County, Texas"
6536,2078,40.9,59.1,35153,42147,1400000US48005000600,"Census Tract 6, Angelina County, Texas"
3275,1390,38.8,61.1,29250,41635,1400000US48005000700,"Census Tract 7, Angelina County, Texas"
6021,2463,52.8,47.2,44792,55035,1400000US48005000800,"Census Tract 8, Angelina County, Texas"
6504,2715,73.1,26.8,48087,67730,1400000US48005000901,"Census Tract 9.01, Angelina County, Texas"
3101,1738,73.9,26.2,57542,109438,1400000US48005000902,"Census Tract 9.02, Angelina County, Texas"
5135,1323,43.3,56.7,33948,41473,1400000US48005001001,"Census Tract 10.01, Angelina County, Texas"
