Total population,Total households,PCT WHITE COLLAR,PCT BLUE COLLAR,Median income,Mean income,B08604,Daytime Population,id,Geographic Area Name
4958,2411,49.2,50.7,59675,74859,1678.462386,4850.462386,1400000US48001950100,"Census Tract 9501, Anderson County, Texas"
4867,100,33.1,66.9,84063,77716,1647.655593,6378.655593,1400000US48001950401,"Census Tract 9504.01, Anderson County, Texas"
7335,0,0,0,0,0,2483.162888,9818.162888,1400000US48001950402,"Census Tract 9504.02, Anderson County, Texas"
4397,1701,35.2,64.8,40000,50667,1488.543588,4212.543588,1400000US48001950500,"Census Tract 9505, Anderson County, Texas"
4704,2093,39.6,60.4,39936,62111,1592.474196,4454.474196,1400000US48001950600,"Census Tract 9506, Anderson County, Texas"
2497,1041,33.2,66.8,32083,36145,845.3248442,2395.324844,1400000US48001950700,"Census Tract 9507, Anderson County, Texas"
6049,2788,42.8,57.2,45587,58120,2047.805359,4748.805359,1400000US48001950800,"Census Tract 9508, Anderson County, Texas"
6475,2312,44.5,55.5,43959,54249,2192.021773,6790.021773,1400000US48001950901,"Census Tract 9509.01, Anderson County, Texas"
4253,2389,50.5,49.5,40313,50537,1439.794378,3980.794378,1400000US48001950902,"Census Tract 9509.02, Anderson County, Texas"
4216,1751,43.8,56.3,52198,86137,1427.268539,3832.268539,1400000US48001951001,"Census Tract 9510.01, Anderson County, Texas"
3326,1456,51.3,48.8,59113,69040,1125.971338,3009.971338,1400000US48001951002,"Census Tract 9510.02, Anderson County, Texas"
4840,2597,43.1,56.8,56553,67093,1638.515116,4212.515116,1400000US48001951100,"Census Tract 9511, Anderson County, Texas"
2495,788,54.7,45.3,108029,144896,1011.715861,2472.715861,1400000US48003950100,"Census Tract 9501, Andrews County, Texas"
7331,2809,58.4,41.6,75965,91068,2972.700993,6862.700993,1400000US48003950200,"Census Tract 9502, Andrews County, Texas"
4984,1784,33.5,66.5,54866,71169,2020.998738,4613.998738,1400000US48003950300,"Census Tract 9503, Andrews County, Texas"
3417,966,39.7,60.2,72009,104033,1385.584408,3094.584408,1400000US48003950400,"Census Tract 9504, Andrews County, Texas"
5083,2159,57.1,43,61298,85644,2068.930773,4480.930773,1400000US48005000102,"Census Tract 1.02, Angelina County, Texas"
3649,1217,53.6,46.4,85807,85162,1485.250519,3563.250519,1400000US48005000103,"Census Tract 1.03, Angelina County, Texas"
2514,1333,52.2,47.8,70945,69271,1023.272076,2397.272076,1400000US48005000104,"Census Tract 1.04, Angelina County, Texas"
2509,1317,51.8,48.2,45493,50696,1021.236929,2420.236929,1400000US48005000201,"Census Tract 2.01, Angelina County, Texas"
3641,1307,34.7,65.3,44542,48309,1481.994284,3953.994284,1400000US48005000202,"Census Tract 2.02, Angelina County, Texas"
5432,2224,59.8,40.2,56355,61300,2210.984056,5134.984056,1400000US48005000301,"Census Tract 3.01, Angelina County, Texas"
5854,2423,58.3,41.7,55382,82780,2382.750491,5638.750491,1400000US48005000302,"Census Tract 3.02, Angelina County, Texas"
4721,2376,39.1,60.8,39527,45592,1921.586106,4684.586106,1400000US48005000400,"Census Tract 4, Angelina County, Texas"
4022,1648,39.6,60.3,27568,38731,1637.07251,4159.07251,1400000US48005000500,"Census Tract 5, Angelina County, Texas"
6443,1973,36.4,63.7,39271,48134,2622.490846,6621.490846,1400000US48005000600,"Census Tract 6, Angelina County, Texas"
3894,1309,36,64,36979,45698,1584.972738,4177.972738,1400000US48005000700,"Census Tract 7, Angelina County, Texas"
5422,2305,59.5,40.5,53619,60543,2206.913762,5156.913762,1400000US48005000800,"Census Tract 8, Angelina County, Texas"
3733,2025,67.7,32.3,54271,87131,1519.440995,3463.440995,1400000US48005000902,"Census Tract 9.02, Angelina County, Texas"
